Ocean,Depthcm,percentCaCO3
N.ATL.,240,77.3
N.ATL.,250,63.6
N.ATL.,260,72.6
N.ATL.,270,85.1
N.ATL.,280,82.8
N.ATL.,290,80.3
N.ATL.,300,78.6
N.ATL.,310,62.9
N.ATL.,320,79.2
N.ATL.,330,84.3
N.ATL.,340,82.3
N.ATL.,350,65.7
N.ATL.,360,61.8
N.ATL.,370,67.3
N.ATL.,380,72
N.ATL.,390,75.8
N.ATL.,400,74.3
ANTAR.,350,62
ANTAR.,360,45.1
ANTAR.,370,67.3
ANTAR.,380,44.6
ANTAR.,390,56.8
ANTAR.,400,70.9
ANTAR.,410,52.2
ANTAR.,420,65.3
ANTAR.,430,69.2
ANTAR.,440,66.9
ANTAR.,450,75.7
ANTAR.,460,81
ANTAR.,470,77.5
ANTAR.,480,77.3
ANTAR.,490,79.8
ANTAR.,500,56.8
ANTAR.,510,32.3
ANTAR.,520,50.5
ANTAR.,530,37.7
ANTAR.,540,31.1
ANTAR.,740,68
ANTAR.,750,69.9
ANTAR.,760,70.3
ANTAR.,770,73.9
ANTAR.,780,74.9
ANTAR.,790,74.5
ANTAR.,800,75.6
ANTAR.,810,76.3
ANTAR.,820,73.1
ANTAR.,830,74.3
ANTAR.,840,67.9
ANTAR.,850,78.5
ANTAR.,860,80.8
ANTAR.,870,71.5
ANTAR.,880,76.3
ANTAR.,890,76.2
ANTAR.,900,72.6
ANTAR.,380,72.6
ANTAR.,385,69.3
ANTAR.,395,76.6
ANTAR.,399,77.1
ANTAR.,405,79.3
ANTAR.,411,81.4
ANTAR.,420,84.3
ANTAR.,428,86.2
ANTAR.,435,79.1
ANTAR.,446,73.8
ANTAR.,451,60.5
ANTAR.,465,61.8
ANTAR.,470,57.7
ANTAR.,475,59.9
PACIF.,202,78.5
PACIF.,207,80.6
PACIF.,212,78.1
PACIF.,217,80.2
PACIF.,222,77.5
PACIF.,227,79
PACIF.,232,76.8
PACIF.,237,72.3
PACIF.,242,70.8
PACIF.,247,67.8
PACIF.,252,65.7
PACIF.,257,73
PACIF.,262,73.5
PACIF.,267,71.9
PACIF.,272,72.7
PACIF.,277,75.9
PACIF.,282,78.3
PACIF.,287,75.7
S.ATL.,230,61.9
S.ATL.,240,44.5
S.ATL.,250,39.3
S.ATL.,260,60.1
S.ATL.,270,78.6
S.ATL.,280,61.5
S.ATL.,290,68.5
S.ATL.,300,67.3
S.ATL.,310,62.3
INDIAN,200,57.4
INDIAN,202,61.2
INDIAN,204,53.1
INDIAN,206,57
INDIAN,208,66.7
INDIAN,210,48.3
INDIAN,212,52.1
INDIAN,214,50.3
INDIAN,216,60
INDIAN,218,51.6
INDIAN,220,55.2
INDIAN,222,54.7
INDIAN,224,57.4
INDIAN,226,55.2
INDIAN,228,57.2
INDIAN,230,51.6
INDIAN,232,57.2
INDIAN,234,59.2
INDIAN,236,52.3
INDIAN,238,52.6
INDIAN,240,55.6
INDIAN,242,44.8
INDIAN,244,47
INDIAN,246,53.9
INDIAN,248,55.1
INDIAN,250,46.2
PACIF.,770,19.6
PACIF.,780,20.6
PACIF.,790,18.7
PACIF.,800,21.8
PACIF.,810,25
PACIF.,820,39.6
PACIF.,830,34.4
PACIF.,840,31.5
PACIF.,850,27.7
PACIF.,860,38.3
PACIF.,870,30
PACIF.,880,36.1
PACIF.,890,33.5
PACIF.,900,36
PACIF.,300,26.8
PACIF.,310,36.9
PACIF.,320,35.5
PACIF.,330,18.9
PACIF.,340,35
PACIF.,350,31.9
PACIF.,360,25.9
PACIF.,370,26.5
PACIF.,380,21
PACIF.,390,32.2
PACIF.,400,36.8
PACIF.,410,34.7
PACIF.,420,32.3
S.ATL.,180,38
S.ATL.,190,40
S.ATL.,200,33
S.ATL.,210,33.4
S.ATL.,220,45
S.ATL.,221,47.3
S.ATL.,230,43
S.ATL.,240,23.2
S.ATL.,250,18.6
S.ATL.,259,29.6
S.ATL.,260,29
S.ATL.,245,58.4
S.ATL.,255,86.3
S.ATL.,265,90.3
S.ATL.,275,90.2
S.ATL.,285,89.6
S.ATL.,295,89.7
S.ATL.,300,91.7
N.ATL.,500,18.4
N.ATL.,510,9.3
N.ATL.,515,12.8
N.ATL.,525,12.3
N.ATL.,530,22.5
N.ATL.,535,20.1
N.ATL.,550,33.2
N.ATL.,560,47.3
N.ATL.,570,49.3
N.ATL.,580,16.6
N.ATL.,590,18.2
N.ATL.,595,14.2
N.ATL.,605,11
N.ATL.,610,9.7
N.ATL.,615,7.1
N.ATL.,620,4.3
N.ATL.,635,3.1
N.ATL.,645,2.3
N.ATL.,650,4.5
N.ATL.,660,1.9
N.ATL.,670,8.5
N.ATL.,685,7.8
PACIF.,410,38.5
PACIF.,412,39.2
PACIF.,415,39.1
PACIF.,418,41.8
PACIF.,420,39.9
PACIF.,422,42.9
PACIF.,425,41.9
PACIF.,428,45.2
PACIF.,430,38.8
PACIF.,432,38.3
PACIF.,435,38.6
PACIF.,439,38.3
PACIF.,440,34.1
PACIF.,442,40
PACIF.,445,30.1
PACIF.,448,30.3
PACIF.,450,25.4
PACIF.,452,25.4
PACIF.,455,21.6
PACIF.,458,21.4
PACIF.,460,22.1
PACIF.,462,18.9
PACIF.,465,24.2
PACIF.,468,24.9
PACIF.,470,26.2
INDIAN,500,80.4
INDIAN,504,81
INDIAN,508,78.3
INDIAN,512,75.3
INDIAN,516,72.2
INDIAN,520,75.2
INDIAN,524,78
INDIAN,528,73.9
INDIAN,532,68.9
INDIAN,536,68.7
INDIAN,540,68
INDIAN,544,68.5
INDIAN,548,59.9
INDIAN,552,54.7
INDIAN,556,51.6
INDIAN,560,51.4
INDIAN,564,61.5
INDIAN,568,69.4
INDIAN,572,69.2
INDIAN,576,67.8
INDIAN,580,74.1
INDIAN,584,71
INDIAN,588,74.8
INDIAN,592,74.4
INDIAN,596,73.4
INDIAN,600,73.7
INDIAN,604,73.5
N.ATL.,465,70.1
N.ATL.,475,87.7
N.ATL.,485,73.8
N.ATL.,495,87.9
N.ATL.,505,89.8
N.ATL.,515,86.1
N.ATL.,525,57.7
N.ATL.,535,54.6
N.ATL.,550,58.2
N.ATL.,528,83.6
N.ATL.,530,84.1
N.ATL.,532,82.7
N.ATL.,534,81
N.ATL.,536,83
N.ATL.,538,86.2
N.ATL.,540,85.8
N.ATL.,542,86.8
N.ATL.,544,88.4
N.ATL.,546,87.7
N.ATL.,548,87.6
N.ATL.,550,86.1
N.ATL.,552,81.1
N.ATL.,554,87.2
N.ATL.,556,88.1
N.ATL.,558,87.1
N.ATL.,560,88.5
N.ATL.,562,88.1
N.ATL.,564,88.3
N.ATL.,566,87.9
N.ATL.,568,88.4
N.ATL.,570,87.8
N.ATL.,572,88.6
N.ATL.,574,88.8
N.ATL.,576,88.1
N.ATL.,578,87.2
N.ATL.,580,87.1
N.ATL.,582,83.2
N.ATL.,584,85.7
N.ATL.,586,76.2
N.ATL.,588,73.3
N.ATL.,590,72.7
N.ATL.,592,67.2
N.ATL.,594,65.2
N.ATL.,596,63.8
N.ATL.,598,62.2
N.ATL.,600,62.4
N.ATL.,602,66.2
N.ATL.,604,67.5
N.ATL.,606,66.9
N.ATL.,608,66.7
N.ATL.,610,67.3
N.ATL.,612,65
N.ATL.,614,66.8
N.ATL.,616,66.6
N.ATL.,618,68.7
N.ATL.,620,68.6
N.ATL.,622,67.4
N.ATL.,624,66.5
N.ATL.,626,64.9
N.ATL.,628,64.6
N.ATL.,630,64.7
N.ATL.,632,64.4
N.ATL.,634,68.8
N.ATL.,636,66.3
N.ATL.,638,65.8
N.ATL.,640,65
PACIF.,160,40.1
PACIF.,170,47.5
PACIF.,180,57.3
PACIF.,190,39.6
PACIF.,200,43.4
PACIF.,210,46.6
PACIF.,220,49.3
PACIF.,230,54.5
PACIF.,240,59.4
PACIF.,250,62
PACIF.,240,67.5
PACIF.,250,56
PACIF.,260,44.9
PACIF.,270,53.5
PACIF.,280,56.3
PACIF.,290,56.3
PACIF.,300,52.7
PACIF.,310,58.9
PACIF.,320,62.7
PACIF.,330,64.5
INDIAN,450,75.1
INDIAN,460,74.6
INDIAN,470,75.2
INDIAN,480,72.2
INDIAN,490,63.5
INDIAN,500,69.8
INDIAN,510,73.1
INDIAN,520,77.4
INDIAN,530,78.4
INDIAN,540,64.7
INDIAN,550,66.1
INDIAN,560,62.9
INDIAN,570,66
INDIAN,580,64.2
INDIAN,590,63.9
INDIAN,600,65.7
PACIF.,150,2.6
PACIF.,153,16.4
PACIF.,156,17.9
PACIF.,159,54.3
PACIF.,162,13.6
PACIF.,165,47
PACIF.,168,12.6
PACIF.,171,23.5
PACIF.,174,16.2
PACIF.,177,58.5
PACIF.,180,24
PACIF.,183,69
PACIF.,186,76.5
PACIF.,189,40
PACIF.,192,40.2
PACIF.,195,41.2
PACIF.,198,46.5
PACIF.,204,45.8
PACIF.,210,45.1
PACIF.,216,44.5
PACIF.,1110,0.7
PACIF.,1120,1.4
PACIF.,1130,0.8
PACIF.,1140,1.5
PACIF.,1150,2.3
PACIF.,1160,1.8
PACIF.,1170,1.3
PACIF.,1180,1
PACIF.,1190,0.9
PACIF.,1200,0.9
PACIF.,1210,0.9
PACIF.,1220,0.8
PACIF.,1230,1
PACIF.,1240,0.8
PACIF.,1250,0.9
PACIF.,1260,2.8
PACIF.,1270,3
PACIF.,1280,2.3
PACIF.,1290,3.4
PACIF.,1300,4.6
